Município,Processo,Prestadora,NC,Descrição,Status,Categoria
ÁGUA BRANCA,E:49070.0000002083/2025,ADS,NC 01,Reparos na parede desplacamento do reboco,Sanado,Estrutural
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 01,Ausência de identificação da captação,Sanado,Ausência de Identificação
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 02,Corrosão das armaduras,Sanado,Estrutural
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 03,Ponto de vazamento na parede do reservatório,Sanado,Estrutural
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 04,Ponto de vazamento na saída da adutora,Sanado,Hidráulico
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 05,Excesso de entulhos no perímetro da adutora,Sanado,Limpeza e Conservação
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 06,Infiltração no piso da estação elevatória,Sanado,Estrutural
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 07,Ausência da bomba reserva,Sanado,Outros
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 08,Ausência da escada do reservatório apoiado,Sanado,Segurança
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 09,Ausência de identificação da estação elevatória água tratada 05,Sanado,Ausência de Identificação
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 10,Ausência de guarda-corpo na laje de cobertura,Sanado,Segurança
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 11,Ponto de vazamento no reservatório,Sanado,Estrutural
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 12,Ausência de guarda-corpo na laje de cobertura,Sanado,Segurança
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 13,Excesso de vegetação na área,Sanado,Limpeza e Conservação
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 14,Ponto de vazamento no reservatório,Sanado,Estrutural
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 15,Ausência de guarda-corpo na laje de cobertura,Sanado,Segurança
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 16,Ausência de identificação do reservatório,Sanado,Estrutural
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 17,Excesso de vegetação na área,Sanado,Limpeza e Conservação
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 18,Ausência de guarda-corpo na laje de cobertura,Sanado,Segurança
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 19,Ausência de identificação do reservatório,Sanado,Estrutural
ÁGUA BRANCA,E:49070.0000001643/2024,CASAL,NC 20,Ausência de cerca ou muro no perímetro,Sanado,Estrutural
ÁGUA BRANCA,E:49070.0000002083/2025,ADS,NC 06,Ausência de guarda corpo no RAP,Sanado,Segurança
ÁGUA BRANCA,E:49070.0000002083/2025,ADS,NC 05,Execesso de vegetação,Pendente,Limpeza e Conservação
ÁGUA BRANCA,E:49070.0000002083/2025,ADS,NC 04,Escadas de acesso aos reservatórios em condições inadequada,Pendente,Segurança
ÁGUA BRANCA,E:49070.0000002083/2025,ADS,NC 03,Ausência de guarda corpo no RAP 2,Pendente,Segurança
ÁGUA BRANCA,E:49070.0000002083/2025,ADS,NC 02,Necessitando de pintura,Sanado,Outros
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 63,Tampa de proteção da laje de cobertura oxidada do Reservatório 02 Rocha Cavalcante,Sanado,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 34,Ausência do macromedidor na saída do reservatório,Sanado,Medição e Aferição
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 17,Patologia estrutural no Reservatório Semienterrados 02,Sanado,Estrutural
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 18,Ausência de identificação dos Reservatórios Elevados Newton Pereira,Sanado,Estrutural
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 19,"Tampas das caixas de manobra dos Reservatórios Elevados Newton Pereira com oxidação, sem estarem chumbadas e sem o cadeado de segurança",Sanado,Estrutural
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 99,Cerca de proteção da (ETE) Rocha Cavalcante danificada,Sanado,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 98,Ausência do portão de acesso da (ETE) Rocha Cavalcante,Sanado,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 97,Ausência de identificação da (ETE) Rocha Cavalcante,Sanado,Ausência de Identificação
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 96,Excesso de vegetação no perímetro da (ETE) União,Sanado,Limpeza e Conservação
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 95,Ausência do gerador de energia na (EEE) Sagrada Família,Sanado,Elétrico
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 94,Ausência do extintor de incêndio na (EEE) Sagrada Família,Sanado,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 93,Tampa danificada do poço de sucção da (EEE) Sagrada Família,Auto de Infração,Outros
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 92,Cerca de proteção da (EEE) Sagrada Família danificada,Sanado,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 91,Portão de acesso a (EEE) Sagrada Família oxidado e sem cadeado,Sanado,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 90,Excesso de vegetação no perímetro da (EEE) Sagrada Família,Sanado,Limpeza e Conservação
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 89,Ausência de identificação da (EEE) Sagrada Família,Sanado,Ausência de Identificação
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 88,Ausência do gerador de energia na (EEE) Newton Pereira,Sanado,Elétrico
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 87,Tampa danificada do poço de sucção da (EEE) Newton Pereira,Auto de Infração,Outros
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 86,Cerca de proteção da (EEE) Newton Pereira danificada,Sanado,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 85,Excesso de vegetação no perímetro da (EEE) Newton Pereira,Sanado,Limpeza e Conservação
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 84,Fixação da placa de identificação da (EEE) Newton Pereira em local inadequado,Sanado,Ausência de Identificação
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 83,Ausência do gerador de energia na (EEE) Nova Esperança,Sanado,Elétrico
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 82,Excesso de vegetação no perímetro da (EEE) Nova Esperança,Sanado,Limpeza e Conservação
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 81,Ausência da tampa do poço de sucção da (EEE) Nova Esperança,Auto de Infração,Outros
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 80,Lançamento a céu aberto e sem tratamento de parte do esgoto do Conjunto Santa Maria,Sanado,Outros
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 79,Ausência do gerador de energia na (EEE) Santa Maria,Sanado,Elétrico
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 78,Excesso de vegetação no perímetro da (EEE) Santa Maria,Sanado,Limpeza e Conservação
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 77,Ausência de identificação na (EEE) Santa Maria,Sanado,Ausência de Identificação
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 76,Ausência do gerador de energia na (EEE) Roberto Correia,Sanado,Elétrico
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 75,Ausência do extintor de incêndio na (EEE) Roberto Correia,Sanado,Segurança
UNIÃO DOS PALMARES,E:49070.0000000687/2024,VAA,NC 74,Tampa do poço de sucção da (EEE) não está fixada na laje,Auto de Infração,Estrutural
