Coord,Prestadora,P Dashboard
"-9.971813, -37001417",ADS,"Pressão: 38 mca
Data de Aferição: 13/05/25
Status: Conforme"
"-9.97179, -37.0035",ADS,"Pressão: 37 mca
Data de Aferição: 13/05/25
Status: Conforme"
"-9.971417, -36.999831",ADS,"Pressão: 19 mca
Data de Aferição: 13/05/25
Status: Conforme"
-9.971417 -36.9998,ADS,"Pressão: 37 mca
Data de Aferição: 13/05/25
Status: Conforme"
"-9.9703, -37,00429",ADS,"Pressão: 35 mca
Data de Aferição: 13/05/25
Status: Conforme"
"-9.966764, -37.003886",ADS,"Pressão: 17 mca
Data de Aferição: 13/05/25
Status: Conforme"
"-9.965850, -36.9992",ADS,"Pressão: 25 mca
Data de Aferição: 13/05/25
Status: Conforme"
"-9.964889, -37.0008",ADS,"Pressão: 25 mca
Data de Aferição: 13/05/25
Status: Conforme"
"-9.962701, -36.9968",ADS,"Pressão: 20 mca
Data de Aferição: 13/05/25
Status: Conforme"
"-9.961678, -36.996195",ADS,"Pressão: 22 mca
Data de Aferição: 13/05/25
Status: Conforme"
"-9.9325, -36.4708333",ADS,"Pressão: 18 mca
Data de Aferição: 14/05/25
Status: Conforme"
"-9.931679, -36.472383",ADS,"Pressão: 10 mca
Data de Aferição: 14/05/25
Status: Conforme"
"-9.9316667, -36.470833",ADS,"Pressão: 10 mca
Data de Aferição: 14/05/25
Status: Conforme"
"-9.929768, -36.5001",ADS,"Pressão: 15 mca
Data de Aferição: 14/05/25
Status: Conforme"
"-9.9297222, -36.4747222",ADS,"Pressão: 11 mca
Data de Aferição: 14/05/25
Status: Conforme"
"-9.918285, -36.472776",ADS,"Pressão: 19 mca
Data de Aferição: 14/05/25
Status: Conforme"
"-9.916562, -36.470794",ADS,"Pressão: 13 mca
Data de Aferição: 14/05/25
Status: Conforme"
"-9.910320, -36.473403",ADS,"Pressão: 10 mca
Data de Aferição: 14/05/25
Status: Conforme"
"-9.909832, -36.470886",ADS,"Pressão: 21 mca
Data de Aferição: 14/05/25
Status: Conforme"
"-9.8866, -36.8266",CASAL,"Pressão: 10 mca
Data de Aferição: 13/03/25
Status: Conforme"
