DATA DO ENVIO,PROTOCOLO,MUNICÍPIO,PRESTADORA,TIPO,NATUREZA,COMUNICAÇÃO,ÁREAS AFETADAS,DIA INICIAL,DIA PREVISTO PARA TÉRMINO,ESTRUTURA,RESPONSÁVEL,MOTIVO DO CANCELAMENTO
"13 de mar. de 2026, 11:03:00",VAA00001141,ANADIA,VAA,Emergencial,Falha Nas ETApas de Tratamento,"Divulgação: site, e-mail e whatsapp",Toda a cidade,12-03-2026 21:00,13-03-2026 17:00,Captação (Casal),CASAL," "
"13 de mar. de 2026, 11:03:00",VAA00001140,MARIBONDO,VAA,Emergencial,Falha Nas ETApas de Tratamento,"Divulgação: site, e-mail e whatsapp",Toda a cidade,12-03-2026 21:00,13-03-2026 17:00,Captação (Casal),CASAL," "
"13 de mar. de 2026, 11:02:31",ADS00000966,SÃO JOSÉ DA TAPERA,ADS,Emergencial,Manutenção - Vazamento em Adutora,No ato ou cinco dias de antecedência ou no relatório técnico das comprovações de serviços,São José da Tapera - Torrões,2026-03-13,2026-03-13,Manutenção em Adutora,Águas do Sertão," "
"13 de mar. de 2026, 10:50:49",BRK00003724,BARRA DE SÃO MIGUEL,BRK,Emergencial,Falha Eletromecânica,A comunicação de paralisação emergencial foi realizada nesta data (13/03/2026),Centro e Barra Mar,13-03-2026,13-03-2026,Sistema Barra de São Miguel,CASAL," "
"13 de mar. de 2026, 10:48:05",BRK00003723,MACEIÓ,BRK,Emergencial,Falha Eletromecânica,A comunicação de paralisação emergencial foi realizada nesta data (13/03/2026),Barra Duro,24-01-2026,16-03-2026,Poço P-Bd 02,CASAL," "
"13 de mar. de 2026, 10:09:09",ADS00000965,SANTANA DO IPANEMA,ADS,Emergencial,Manutenção - Vazamento na Malha de Distribuição,No ato ou cinco dias de antecedência ou no relatório técnico das comprovações de serviços,Santana do Ipanema - Urbana,2026-03-13,2026-03-13,Manutenção - Vazamento na Malha de Distribuição,Águas do Sertão," "
"13 de mar. de 2026, 09:56:51",CASAL00003380,ANADIA,CASAL,Emergencial,Tratamento,Divulgado pela ASCOM,,12-03-2026,,ETA Anadia,CASAL," "
"13 de mar. de 2026, 09:56:39",CASAL00003379,MACEIÓ,CASAL,Emergencial,Eletrico,Divulgado pela ASCOM,Maceió,12-03-2026,,P-Mac-Cb-05,CASAL," "
"13 de mar. de 2026, 09:56:24",CASAL00003378,MACEIÓ,CASAL,Emergencial,Eletrico,Divulgado pela ASCOM,Maceió,11-03-2026,,P-Mac-Cu-02,CASAL," "
"13 de mar. de 2026, 09:56:08",CASAL00003377,MACEIÓ,CASAL,Emergencial,Pedido,Divulgado pela ASCOM,Maceió,13-03-2026,,P-Mac-Nsa-01,BRK," "
"13 de mar. de 2026, 09:48:30",BRK00003722,MACEIÓ,BRK,Emergencial,À Troca de Registro,A comunicação de paralisação emergencial foi realizada nesta data (13/03/2026),CONJ. Carajás,12-03-2026,13-03-2026,Poço P-Cc 01,BRK," "
"13 de mar. de 2026, 09:35:12",BRK00003721,MACEIÓ,BRK,Emergencial,Manutenção Eletromecânica,A comunicação de paralisação emergencial foi realizada nesta data (13/03/2026),Ipioca,23-09-2025,16-03-2026,Poço P-Ip 02,CASAL," "
"13 de mar. de 2026, 09:30:20",BRK00003720,MACEIÓ,BRK,Emergencial,Falha Eletromecânica,A comunicação de paralisação emergencial foi realizada nesta data (13/03/2026),Feitosa,18-08-2025,16-03-2026,Poço P-Am 02,CASAL," "
"13 de mar. de 2026, 08:38:25",ADS00000964,JUNQUEIRO,ADS,Emergencial,Manutenção - Vazamento na Malha de Distribuição,No ato ou cinco dias de antecedência ou no relatório técnico das comprovações de serviços,Junqueiro - Urbana,2026-03-13,2026-03-13,Rede de Distribuição,Águas do Sertão," "
"13 de mar. de 2026, 08:32:01",BRK00003719,MACEIÓ,BRK,Emergencial,Manutenção Hidráulica no Poço,A comunicação de paralisação emergencial foi realizada nesta data (13/03/2026),Clato Marques Luz e Tabuleiro dos Martins,13-03-2026,13-03-2026,Poço P-Nsa 01,BRK," "
