Data da Coleta,Amostra,Motivo,Município,Sistema,Chuva nas Últimas 48h,Cloro Residual Livre (mg/L),Turbidez (uT),Cor Aparente (uH),pH,Coliformes Totais,E. Coli,Fluoretação
10 de mar. de 2026,JAC 171,Rotina,Jacuípe,SAA DE JACUIPE URBANO,Não,1.5,,,,Sem Informações,Sem Informações,Não
10 de mar. de 2026,JAC 172,Rotina,Jacuípe,SAA DE JACUIPE URBANO,Não,1.5,,,,Sem Informações,Sem Informações,Não
10 de mar. de 2026,JAC 175,Rotina,Jacuípe,SAA DE JACUIPE URBANO,Não,1,,,,Sem Informações,Sem Informações,Não
10 de mar. de 2026,JAC 173,Rotina,Jacuípe,SAA DE JACUIPE URBANO,Não,1.5,,,,Sem Informações,Sem Informações,Não
10 de mar. de 2026,JAC 174,Rotina,Jacuípe,SAA DE JACUIPE URBANO,Não,1.5,,,,Sem Informações,Sem Informações,Não
10 de mar. de 2026,JAC 176,Rotina,Jacuípe,SAA DE JACUIPE URBANO,Não,1.5,,,,Sem Informações,Sem Informações,Não
9 de mar. de 2026,QBG 018,Rotina,Quebrangulo,SAA DE QUEBRANGULO SEDE,Não,2.4,,,,Sem Informações,Sem Informações,Não
9 de mar. de 2026,JAC 168,Rotina,Jacuípe,SAA DE JACUIPE URBANO,Não,1.5,,,,Sem Informações,Sem Informações,Não
9 de mar. de 2026,JAC 170,Rotina,Jacuípe,SAA DE JACUIPE URBANO,Não,1.5,,,,Sem Informações,Sem Informações,Não
9 de mar. de 2026,MC 34,Rotina,Matriz de Camaragibe,SAA DE MATRIZ DE CAMARAGIBE URBANO,Não,0.8,,,,Sem Informações,Sem Informações,Não
9 de mar. de 2026,QBG 017,Rotina,Quebrangulo,SAA DE QUEBRANGULO SEDE,Não,0.7,,,,Sem Informações,Sem Informações,Não
9 de mar. de 2026,MC 35,Rotina,Matriz de Camaragibe,SAA DE MATRIZ DE CAMARAGIBE URBANO,Não,1.5,,,,Sem Informações,Sem Informações,Não
9 de mar. de 2026,QBG 019,Rotina,Quebrangulo,SAA DE QUEBRANGULO SEDE,Não,3.1,,,,Sem Informações,Sem Informações,Não
9 de mar. de 2026,JAC 167,Rotina,Jacuípe,SAA DE JACUIPE URBANO,Não,1.5,,,,Sem Informações,Sem Informações,Não
9 de mar. de 2026,IBT 010,Rotina,Ibateguara,SAA DE IBATEGUARA CANASTRA,Não,0.76,,,,Sem Informações,Sem Informações,Não
9 de mar. de 2026,CAR 026,Rotina,Carneiros,SAA DE PAO DE ACUCAR URBANO,Não,0.8,,,,Sem Informações,Sem Informações,Não
9 de mar. de 2026,IBT 007,Rotina,Ibateguara,SAC DE IBATEGUARA ACADEMIA FUNCION,Não,0,,,,Sem Informações,Sem Informações,Não
9 de mar. de 2026,JAC 169,Rotina,Jacuípe,SAA DE JACUIPE URBANO,Não,1.5,,,,Sem Informações,Sem Informações,Não
9 de mar. de 2026,JAC 166,Rotina,Jacuípe,SAA DE JACUIPE URBANO,Não,1.5,,,,Sem Informações,Sem Informações,Não
9 de mar. de 2026,QBG 016,Rotina,Quebrangulo,SAA DE QUEBRANGULO SEDE,Não,1.17,,,,Sem Informações,Sem Informações,Não
9 de mar. de 2026,CAR 027,Rotina,Carneiros,SAA DE PAO DE ACUCAR URBANO,Não,2.5,,,,Sem Informações,Sem Informações,Não
9 de mar. de 2026,IBT 008,Rotina,Ibateguara,SAA DE IBATEGUARA SEDE,Não,1.39,,,,Sem Informações,Sem Informações,Não
9 de mar. de 2026,JAC 165,Rotina,Jacuípe,SAA DE JACUIPE URBANO,Não,1.5,,,,Sem Informações,Sem Informações,Não
9 de mar. de 2026,CAR 025,Rotina,Carneiros,SAA DE PAO DE ACUCAR URBANO,Não,2,,,,Sem Informações,Sem Informações,Não
9 de mar. de 2026,IBT 006,Rotina,Ibateguara,SAA DE IBATEGUARA URBANO SAMAE,Não,0.38,,,,Sem Informações,Sem Informações,Não
9 de mar. de 2026,MC 33,Rotina,Matriz de Camaragibe,SAA DE MATRIZ DE CAMARAGIBE URBANO,Não,0.2,,,,Sem Informações,Sem Informações,Não
9 de mar. de 2026,IBT 009,Rotina,Ibateguara,SAA VALTER FERNANDO,Não,0.05,,,,Sem Informações,Sem Informações,Não
9 de mar. de 2026,CAR 024,Rotina,Carneiros,SAA DE PAO DE ACUCAR URBANO,Não,2,,,,Sem Informações,Sem Informações,Não
6 de mar. de 2026,OAF 58,Rotina,Olho d'Água das Flores,SAA DE PAO DE ACUCAR URBANO,Sim,1,4,,,Sem Informações,Sem Informações,Não
6 de mar. de 2026,OAF 57,Rotina,Olho d'Água das Flores,SAA DE PAO DE ACUCAR URBANO,Sim,0.8,10.8,,,Sem Informações,Sem Informações,Não
6 de mar. de 2026,MC 32,Rotina,Matriz de Camaragibe,SAA DE MATRIZ DE CAMARAGIBE URBANO,Não,0.2,,,,Sem Informações,Sem Informações,Não
6 de mar. de 2026,OAF 59,Rotina,Olho d'Água das Flores,SAA DE PAO DE ACUCAR URBANO,Sim,1.5,3.5,,,Sem Informações,Sem Informações,Não
6 de mar. de 2026,MC 31,Rotina,Matriz de Camaragibe,SAA DE MATRIZ DE CAMARAGIBE URBANO,Não,1,,,,Sem Informações,Sem Informações,Não
6 de mar. de 2026,MCZ008,Rotina,Maceió,SAC MACEIO AGUA DA VIDA,Não,0.5,,,,Sem Informações,Sem Informações,Não
6 de mar. de 2026,OAF 56,Rotina,Olho d'Água das Flores,SAA DE PAO DE ACUCAR URBANO,Sim,1,4.6,,,Sem Informações,Sem Informações,Não
6 de mar. de 2026,OAF 60,Rotina,Olho d'Água das Flores,SAA DE PAO DE ACUCAR URBANO,Sim,1,9.1,,,Sem Informações,Sem Informações,Não
6 de mar. de 2026,MC 30,Rotina,Matriz de Camaragibe,SAA DE MATRIZ DE CAMARAGIBE URBANO,Não,0.2,,,,Sem Informações,Sem Informações,Não
5 de mar. de 2026,MC 29,Rotina,Matriz de Camaragibe,SAA DE MATRIZ DE CAMARAGIBE URBANO,Não,0.2,,,,Sem Informações,Sem Informações,Não
5 de mar. de 2026,MC 27,Rotina,Matriz de Camaragibe,SAA DE MATRIZ DE CAMARAGIBE URBANO,Não,2,,,,Sem Informações,Sem Informações,Não
5 de mar. de 2026,MC 28,Rotina,Matriz de Camaragibe,SAA DE MATRIZ DE CAMARAGIBE URBANO,Não,1,,,,Sem Informações,Sem Informações,Não
4 de mar. de 2026,260722000006,Rotina,Coité do Nóia,SAC DE COITE DO NOIA SETORES PUBLICO,Sim,,0.1,,,Ausente,Ausente,Não
4 de mar. de 2026,MC 25,Rotina,Matriz de Camaragibe,SAA DE MATRIZ DE CAMARAGIBE URBANO,Não,0.2,,,,Sem Informações,Sem Informações,Não
4 de mar. de 2026,FLX 43,Rotina,Flexeiras,SAA DE FLEIXEIRAS CIDADE SEDE AGUAS DE FLEXEIRAS SPE SA,Sim,1.5,,,,Sem Informações,Sem Informações,Não
4 de mar. de 2026,MC 26,Rotina,Matriz de Camaragibe,SAA DE MATRIZ DE CAMARAGIBE URBANO,Não,0.2,,,,Sem Informações,Sem Informações,Não
4 de mar. de 2026,260722000010,Rotina,Coité do Nóia,SAC DE COITE DO NOIA SETORES PUBLICO,Sim,,0.1,,,Ausente,Ausente,Não
4 de mar. de 2026,260722000007,Rotina,Coité do Nóia,SAC DE COITE DO NOIA SETORES PUBLICO,Sim,,0.1,,,Ausente,Ausente,Não
4 de mar. de 2026,260722000009,Rotina,Coité do Nóia,SAC DE COITE DO NOIA SETORES PUBLICO,Sim,,0.1,,,Ausente,Ausente,Não
4 de mar. de 2026,MC 24,Rotina,Matriz de Camaragibe,SAA DE MATRIZ DE CAMARAGIBE URBANO,Não,1.5,,,,Sem Informações,Sem Informações,Não
4 de mar. de 2026,260722000008,Rotina,Coité do Nóia,SAC DE COITE DO NOIA SETORES PUBLICO,Sim,,0.1,,,Ausente,Ausente,Não
4 de mar. de 2026,FLX 42,Rotina,Flexeiras,SAA DE FLEIXEIRAS CIDADE SEDE AGUAS DE FLEXEIRAS SPE SA,Sim,,,2,,Sem Informações,Sem Informações,Não
3 de mar. de 2026,260916000030,Rotina,Santana do Ipanema,SAC DE SANTANA DO IPANEMA VEICULO TRANSPORTADOR,Sim,0.8,7,,,Ausente,Ausente,Não
3 de mar. de 2026,260916000026,Rotina,Santana do Ipanema,SAA DE PAO DE ACUCAR URBANO,Sim,0.5,0.9,,,Ausente,Ausente,Não
3 de mar. de 2026,JAC 162,Rotina,Jacuípe,SAA DE JACUIPE URBANO,Sim,1.5,,,,Sem Informações,Sem Informações,Não
3 de mar. de 2026,260917000024,Rotina,Monteirópolis,SAA DE PAO DE ACUCAR URBANO,Sim,0.5,11,,,Presente,Sem Informações,Não
3 de mar. de 2026,260613000033,Rotina,Porto Real do Colégio,SAA PORTO REAL DO COLEGIO URBANO,Sim,0,0.6,,,Ausente,Ausente,Não
3 de mar. de 2026,260923000024,Rotina,Olivença,SAC DE OLIVENCA VEICULO TRANSPORTADOR,Sim,1,6.7,,,Ausente,Ausente,Não
3 de mar. de 2026,JAC 161,Rotina,Jacuípe,SAA DE JACUIPE URBANO,Sim,1.5,,,,Sem Informações,Sem Informações,Não
3 de mar. de 2026,JAC 160,Rotina,Jacuípe,SAA DE JACUIPE URBANO,Sim,1.5,,,,Sem Informações,Sem Informações,Não
3 de mar. de 2026,JAC 163,Rotina,Jacuípe,SAA DE JACUIPE URBANO,Sim,1.5,,,,Sem Informações,Sem Informações,Não
3 de mar. de 2026,260916000029,Rotina,Santana do Ipanema,SAC DE SANTANA DO IPANEMA VEICULO TRANSPORTADOR,Sim,1,6.5,,,Ausente,Ausente,Não
3 de mar. de 2026,260916000028,Rotina,Santana do Ipanema,SAA DE PAO DE ACUCAR URBANO,Sim,1,0.8,,,Ausente,Ausente,Não
3 de mar. de 2026,260923000021,Rotina,Olivença,SAC OLIVENCA POVOADO GRAMPARA SEMARH,Sim,,8,,,Ausente,Ausente,Não
3 de mar. de 2026,260917000025,Rotina,Monteirópolis,SAA DE PAO DE ACUCAR URBANO,Sim,2.5,8.2,,,Ausente,Ausente,Não
3 de mar. de 2026,260923000020,Rotina,Olivença,SAC OLIVENCA POVOADO GRAMPARA SEMARH,Sim,,27,,,Ausente,Ausente,Não
3 de mar. de 2026,260613000032,Rotina,Porto Real do Colégio,SAA PORTO REAL DO COLEGIO URBANO,Sim,2,15,,,Presente,Ausente,Não
3 de mar. de 2026,MC 22,Rotina,Matriz de Camaragibe,SAA DE MATRIZ DE CAMARAGIBE URBANO,Não,0.2,,,,Sem Informações,Sem Informações,Não
3 de mar. de 2026,260923000023,Rotina,Olivença,SAC DE OLIVENCA VEICULO TRANSPORTADOR,Sim,1,7,,,Ausente,Ausente,Não
3 de mar. de 2026,2609200000023,Rotina,Poço das Trincheiras,SAA DE PAO DE ACUCAR URBANO,Não,1,0.89,,,Sem Informações,Sem Informações,Não
3 de mar. de 2026,260916000027,Rotina,Santana do Ipanema,SAA DE PAO DE ACUCAR URBANO,Sim,0.8,0.7,,,Ausente,Ausente,Não
3 de mar. de 2026,JAC 159,Rotina,Jacuípe,SAA DE JACUIPE URBANO,Sim,1,,,,Sem Informações,Sem Informações,Não
3 de mar. de 2026,MCZ017,Rotina,Maceió,SAC MACEIO ARENA OURO PRETO,Não,0,,,,Sem Informações,Sem Informações,Não
3 de mar. de 2026,JAC 164,Rotina,Jacuípe,SAA DE JACUIPE URBANO,Sim,1.5,,,,Sem Informações,Sem Informações,Não
